C:\Users\bellisd\Documents\gitrepos\cuda-nersc-training-series\hw01\x64\Release>hw01.exe
A[0] = 0.066406, B[0] = 0.520508, C[0] = 0.586914
A[841] = 0.315918, B[841] = 0.758789, C[841] = 1.074707
A[842] = 0.968750, B[842] = 0.917480, C[842] = 1.886230
A[843] = 0.920410, B[843] = 0.812012, C[843] = 1.732422
A[844] = 0.218262, B[844] = 0.051758, C[844] = 0.270020
A[845] = 0.651367, B[845] = 0.001465, C[845] = 0.652832
A[846] = 0.458984, B[846] = 0.880371, C[846] = 1.339355
A[847] = 0.288574, B[847] = 0.796387, C[847] = 1.084961
A[848] = 0.617188, B[848] = 0.295410, C[848] = 0.912598
A[849] = 0.786621, B[849] = 0.098145, C[849] = 0.884766
A[850] = 0.807129, B[850] = 0.875000, C[850] = 1.682129
A[851] = 0.125977, B[851] = 0.175781, C[851] = 0.301758
A[852] = 0.730957, B[852] = 0.640625, C[852] = 1.371582
A[853] = 0.957520, B[853] = 0.480469, C[853] = 1.437988
A[854] = 0.553223, B[854] = 0.519531, C[854] = 1.072754
A[855] = 0.207031, B[855] = 0.457031, C[855] = 0.664062
A[856] = 0.272461, B[856] = 0.509277, C[856] = 0.781738
A[857] = 0.001953, B[857] = 0.972656, C[857] = 0.974609
A[858] = 0.809570, B[858] = 0.895020, C[858] = 1.704590
A[859] = 0.554199, B[859] = 0.833008, C[859] = 1.387207
A[860] = 0.793945, B[860] = 0.021973, C[860] = 0.815918
A[861] = 0.183105, B[861] = 0.724121, C[861] = 0.907227
A[862] = 0.938965, B[862] = 0.295898, C[862] = 1.234863
A[863] = 0.477539, B[863] = 0.134277, C[863] = 0.611816
A[864] = 0.148438, B[864] = 0.343262, C[864] = 0.491699
A[865] = 0.430664, B[865] = 0.375000, C[865] = 0.805664
A[866] = 0.567871, B[866] = 0.339355, C[866] = 0.907227
A[867] = 0.632324, B[867] = 0.372070, C[867] = 1.004395
A[868] = 0.371094, B[868] = 0.291016, C[868] = 0.662109
A[869] = 0.084961, B[869] = 0.001953, C[869] = 0.086914
A[870] = 0.930664, B[870] = 0.060059, C[870] = 0.990723
A[871] = 0.029785, B[871] = 0.524414, C[871] = 0.554199
A[872] = 0.436523, B[872] = 0.853027, C[872] = 1.289551
A[873] = 0.199707, B[873] = 0.478027, C[873] = 0.677734
A[874] = 0.186523, B[874] = 0.758789, C[874] = 0.945312
A[875] = 0.423828, B[875] = 0.314453, C[875] = 0.738281
A[876] = 0.816895, B[876] = 0.081055, C[876] = 0.897949
A[877] = 0.262695, B[877] = 0.001465, C[877] = 0.264160
A[878] = 0.577148, B[878] = 0.983887, C[878] = 1.561035
A[879] = 0.418457, B[879] = 0.847168, C[879] = 1.265625
A[880] = 0.350586, B[880] = 0.350586, C[880] = 0.701172
A[881] = 0.052246, B[881] = 0.147461, C[881] = 0.199707
A[882] = 0.159668, B[882] = 0.901367, C[882] = 1.061035
A[883] = 0.479980, B[883] = 0.860352, C[883] = 1.340332
A[884] = 0.644531, B[884] = 0.915039, C[884] = 1.559570
A[885] = 0.711914, B[885] = 0.829102, C[885] = 1.541016
A[886] = 0.074707, B[886] = 0.205078, C[886] = 0.279785
A[887] = 0.573242, B[887] = 0.436035, C[887] = 1.009277
A[888] = 0.885254, B[888] = 0.730957, C[888] = 1.616211
A[889] = 0.107910, B[889] = 0.513184, C[889] = 0.621094
A[890] = 0.647461, B[890] = 0.440430, C[890] = 1.087891
A[891] = 0.565918, B[891] = 0.333496, C[891] = 0.899414
A[892] = 0.139160, B[892] = 0.374023, C[892] = 0.513184
A[893] = 0.971680, B[893] = 0.175293, C[893] = 1.146973
A[894] = 0.232422, B[894] = 0.996094, C[894] = 1.228516
A[895] = 0.722168, B[895] = 0.602051, C[895] = 1.324219
A[896] = 0.233887, B[896] = 0.870605, C[896] = 1.104492
A[897] = 0.573730, B[897] = 0.541016, C[897] = 1.114746
A[898] = 0.614746, B[898] = 0.389160, C[898] = 1.003906
A[899] = 0.045410, B[899] = 0.772949, C[899] = 0.818359
A[900] = 0.294434, B[900] = 0.299805, C[900] = 0.594238
A[901] = 0.175781, B[901] = 0.642578, C[901] = 0.818359
A[902] = 0.735352, B[902] = 0.458008, C[902] = 1.193359
A[903] = 0.260742, B[903] = 0.211426, C[903] = 0.472168
A[904] = 0.649414, B[904] = 0.273926, C[904] = 0.923340
A[905] = 0.253418, B[905] = 0.527344, C[905] = 0.780762
A[906] = 0.354980, B[906] = 0.786621, C[906] = 1.141602
A[907] = 0.731445, B[907] = 0.484375, C[907] = 1.215820
A[908] = 0.094238, B[908] = 0.999512, C[908] = 1.093750
A[909] = 0.446289, B[909] = 0.583008, C[909] = 1.029297
A[910] = 0.159668, B[910] = 0.101074, C[910] = 0.260742
A[911] = 0.750488, B[911] = 0.768555, C[911] = 1.519043
A[912] = 0.731934, B[912] = 0.608887, C[912] = 1.340820
A[913] = 0.058105, B[913] = 0.939941, C[913] = 0.998047
A[914] = 0.617188, B[914] = 0.024414, C[914] = 0.641602
A[915] = 0.793945, B[915] = 0.546387, C[915] = 1.340332
A[916] = 0.141602, B[916] = 0.260254, C[916] = 0.401855
A[917] = 0.318359, B[917] = 0.680664, C[917] = 0.999023
A[918] = 0.575195, B[918] = 0.704102, C[918] = 1.279297
A[919] = 0.739746, B[919] = 0.208008, C[919] = 0.947754
A[920] = 0.997070, B[920] = 0.717773, C[920] = 1.714844
A[921] = 0.035645, B[921] = 0.183105, C[921] = 0.218750
A[922] = 0.020508, B[922] = 0.688965, C[922] = 0.709473
A[923] = 0.993652, B[923] = 0.142090, C[923] = 1.135742
A[924] = 0.416016, B[924] = 0.960449, C[924] = 1.376465
A[925] = 0.664551, B[925] = 0.011719, C[925] = 0.676270
A[926] = 0.136230, B[926] = 0.823730, C[926] = 0.959961
A[927] = 0.310059, B[927] = 0.179688, C[927] = 0.489746
A[928] = 0.041992, B[928] = 0.055664, C[928] = 0.097656
A[929] = 0.859375, B[929] = 0.289062, C[929] = 1.148438
A[930] = 0.958008, B[930] = 0.200684, C[930] = 1.158691
A[931] = 0.487305, B[931] = 0.151367, C[931] = 0.638672
A[932] = 0.628418, B[932] = 0.907227, C[932] = 1.535645
A[933] = 0.463867, B[933] = 0.467773, C[933] = 0.931641
A[934] = 0.299316, B[934] = 0.140625, C[934] = 0.439941
A[935] = 0.664551, B[935] = 0.076172, C[935] = 0.740723
A[936] = 0.429688, B[936] = 0.732422, C[936] = 1.162109
A[937] = 0.217773, B[937] = 0.224121, C[937] = 0.441895
A[938] = 0.884277, B[938] = 0.341797, C[938] = 1.226074
A[939] = 0.276367, B[939] = 0.148926, C[939] = 0.425293
A[940] = 0.411621, B[940] = 0.686035, C[940] = 1.097656
A[941] = 0.707031, B[941] = 0.773438, C[941] = 1.480469
A[942] = 0.113770, B[942] = 0.212891, C[942] = 0.326660
A[943] = 0.762695, B[943] = 0.097656, C[943] = 0.860352
A[944] = 0.846680, B[944] = 0.821289, C[944] = 1.667969
A[945] = 0.783203, B[945] = 0.037109, C[945] = 0.820312
A[946] = 0.840332, B[946] = 0.359863, C[946] = 1.200195
A[947] = 0.536133, B[947] = 0.346680, C[947] = 0.882812
A[948] = 0.664062, B[948] = 0.268555, C[948] = 0.932617
A[949] = 0.344727, B[949] = 0.677734, C[949] = 1.022461
A[950] = 0.483398, B[950] = 0.930176, C[950] = 1.413574
A[951] = 0.301270, B[951] = 0.877441, C[951] = 1.178711
A[952] = 0.441406, B[952] = 0.646973, C[952] = 1.088379
A[953] = 0.551758, B[953] = 0.658203, C[953] = 1.209961
A[954] = 0.229492, B[954] = 0.650879, C[954] = 0.880371
A[955] = 0.971191, B[955] = 0.697266, C[955] = 1.668457
A[956] = 0.866699, B[956] = 0.974121, C[956] = 1.840820
A[957] = 0.133789, B[957] = 0.575195, C[957] = 0.708984
A[958] = 0.888184, B[958] = 0.667480, C[958] = 1.555664
A[959] = 0.760254, B[959] = 0.748535, C[959] = 1.508789
A[960] = 0.255859, B[960] = 0.489746, C[960] = 0.745605
A[961] = 0.941895, B[961] = 0.966309, C[961] = 1.908203
A[962] = 0.015625, B[962] = 0.345215, C[962] = 0.360840
A[963] = 0.265625, B[963] = 0.049805, C[963] = 0.315430
A[964] = 0.642578, B[964] = 0.502930, C[964] = 1.145508
A[965] = 0.585938, B[965] = 0.906250, C[965] = 1.492188
A[966] = 0.667480, B[966] = 0.334961, C[966] = 1.002441
A[967] = 0.921387, B[967] = 0.131348, C[967] = 1.052734
A[968] = 0.377441, B[968] = 0.654297, C[968] = 1.031738
A[969] = 0.280762, B[969] = 0.614258, C[969] = 0.895020
A[970] = 0.438477, B[970] = 0.041016, C[970] = 0.479492
A[971] = 0.520508, B[971] = 0.663086, C[971] = 1.183594
A[972] = 0.514648, B[972] = 0.354492, C[972] = 0.869141
A[973] = 0.381348, B[973] = 0.144531, C[973] = 0.525879
A[974] = 0.145996, B[974] = 0.385742, C[974] = 0.531738
A[975] = 0.340332, B[975] = 0.568359, C[975] = 0.908691
A[976] = 0.728027, B[976] = 0.667480, C[976] = 1.395508
A[977] = 0.548828, B[977] = 0.570801, C[977] = 1.119629
A[978] = 0.005859, B[978] = 0.006836, C[978] = 0.012695
A[979] = 0.873535, B[979] = 0.719727, C[979] = 1.593262
A[980] = 0.673340, B[980] = 0.928223, C[980] = 1.601562
A[981] = 0.070801, B[981] = 0.166504, C[981] = 0.237305
A[982] = 0.842285, B[982] = 0.606445, C[982] = 1.448730
A[983] = 0.601562, B[983] = 0.886719, C[983] = 1.488281
A[984] = 0.390137, B[984] = 0.633301, C[984] = 1.023438
A[985] = 0.786621, B[985] = 0.974121, C[985] = 1.760742
A[986] = 0.377441, B[986] = 0.888184, C[986] = 1.265625
A[987] = 0.723145, B[987] = 0.950684, C[987] = 1.673828
A[988] = 0.262695, B[988] = 0.228027, C[988] = 0.490723
A[989] = 0.418945, B[989] = 0.438477, C[989] = 0.857422
A[990] = 0.504883, B[990] = 0.408203, C[990] = 0.913086
A[991] = 0.683594, B[991] = 0.364746, C[991] = 1.048340
A[992] = 0.035645, B[992] = 0.912598, C[992] = 0.948242
A[993] = 0.711426, B[993] = 0.394531, C[993] = 1.105957
A[994] = 0.048828, B[994] = 0.982910, C[994] = 1.031738
A[995] = 0.756836, B[995] = 0.240723, C[995] = 0.997559
A[996] = 0.258789, B[996] = 0.763672, C[996] = 1.022461
A[997] = 0.644531, B[997] = 0.668945, C[997] = 1.313477
A[998] = 0.914551, B[998] = 0.897461, C[998] = 1.812012
A[999] = 0.702148, B[999] = 0.619629, C[999] = 1.321777
A[1000] = 0.385254, B[1000] = 0.013184, C[1000] = 0.398438
A[1001] = 0.014648, B[1001] = 0.660645, C[1001] = 0.675293
A[1002] = 0.938965, B[1002] = 0.297363, C[1002] = 1.236328
A[1003] = 0.966797, B[1003] = 0.187012, C[1003] = 1.153809
A[1004] = 0.502930, B[1004] = 0.510254, C[1004] = 1.013184
A[1005] = 0.210449, B[1005] = 0.410645, C[1005] = 0.621094
A[1006] = 0.252441, B[1006] = 0.691406, C[1006] = 0.943848
A[1007] = 0.064941, B[1007] = 0.236328, C[1007] = 0.301270
A[1008] = 0.878906, B[1008] = 0.647461, C[1008] = 1.526367
A[1009] = 0.061523, B[1009] = 0.995605, C[1009] = 1.057129
A[1010] = 0.336914, B[1010] = 0.968262, C[1010] = 1.305176
A[1011] = 0.739746, B[1011] = 0.747070, C[1011] = 1.486816
A[1012] = 0.760742, B[1012] = 0.829102, C[1012] = 1.589844
A[1013] = 0.064453, B[1013] = 0.513184, C[1013] = 0.577637
A[1014] = 0.367676, B[1014] = 0.952637, C[1014] = 1.320312
A[1015] = 0.125000, B[1015] = 0.935547, C[1015] = 1.060547
A[1016] = 0.476562, B[1016] = 0.807129, C[1016] = 1.283691
A[1017] = 0.317871, B[1017] = 0.817383, C[1017] = 1.135254
A[1018] = 0.284180, B[1018] = 0.023926, C[1018] = 0.308105
A[1019] = 0.901855, B[1019] = 0.707520, C[1019] = 1.609375
A[1020] = 0.535645, B[1020] = 0.385254, C[1020] = 0.920898
A[1021] = 0.526855, B[1021] = 0.195312, C[1021] = 0.722168
A[1022] = 0.880371, B[1022] = 0.143555, C[1022] = 1.023926
A[1023] = 0.353027, B[1023] = 0.054199, C[1023] = 0.407227
